11:54:59 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1631, 'pwmr_auto': 1518, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.711466038333716, 'waypoint_latitude': 37.63322156962488, 'waypoint_longitude': 127.07780393945566, 'velocity': 0.1, 'heading': 88.9, 'roll': None, 'pitch': 1.2, 'validity': 'A', 'time': '025459.00', 'IP': None, 'date': '090424', 'longitude': 127.07765876, 'latitude': 37.63322296, 'arrived': False, 'flag_autodrive': True}
11:54:59 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1635, 'pwmr_auto': 1514, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.720681561665364, 'waypoint_latitude': 37.63322181384731, 'waypoint_longitude': 127.07780389714617, 'velocity': 0.5, 'heading': 89.6, 'roll': None, 'pitch': 1.9, 'validity': 'A', 'time': '025459.20', 'IP': None, 'date': '090424', 'longitude': 127.07765909, 'latitude': 37.63322294, 'arrived': False, 'flag_autodrive': True}
11:54:59 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1630, 'pwmr_auto': 1519, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.691680016184643, 'waypoint_latitude': 37.633203034955166, 'waypoint_longitude': 127.07780075122929, 'velocity': 0.5, 'heading': 89.6, 'roll': None, 'pitch': 1.9, 'validity': 'A', 'time': '025459.20', 'IP': None, 'date': '090424', 'longitude': 127.07765909, 'latitude': 37.63322294, 'arrived': False, 'flag_autodrive': True}
11:54:59 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1630, 'pwmr_auto': 1519, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.691680016184643, 'waypoint_latitude': 37.633203034955166, 'waypoint_longitude': 127.07780075122929, 'velocity': 0.6, 'heading': 90.5, 'roll': None, 'pitch': 1.5, 'validity': 'A', 'time': '025459.40', 'IP': None, 'date': '090424', 'longitude': 127.07765953, 'latitude': 37.63322301, 'arrived': False, 'flag_autodrive': True}
11:55:00 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1624, 'pwmr_auto': 1525, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.654897763394972, 'waypoint_latitude': 37.633203035077884, 'waypoint_longitude': 127.07780075200061, 'velocity': 0.3, 'heading': 93.0, 'roll': None, 'pitch': -0.4, 'validity': 'A', 'time': '025459.80', 'IP': None, 'date': '090424', 'longitude': 127.07765996, 'latitude': 37.63322314, 'arrived': False, 'flag_autodrive': True}
11:55:00 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1608, 'pwmr_auto': 1541, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.620180957751407, 'waypoint_latitude': 37.633203035305776, 'waypoint_longitude': 127.07780075275441, 'velocity': 0.2, 'heading': 94.4, 'roll': None, 'pitch': -0.0, 'validity': 'A', 'time': '025500.00', 'IP': None, 'date': '090424', 'longitude': 127.0776598, 'latitude': 37.63322315, 'arrived': False, 'flag_autodrive': True}
11:55:00 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1599, 'pwmr_auto': 1550, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.634244246151402, 'waypoint_latitude': 37.6332226472107, 'waypoint_longitude': 127.07780000238145, 'velocity': 0.1, 'heading': 95.1, 'roll': None, 'pitch': 1.4, 'validity': 'A', 'time': '025500.20', 'IP': None, 'date': '090424', 'longitude': 127.07765978, 'latitude': 37.633223, 'arrived': False, 'flag_autodrive': True}
11:55:00 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1594, 'pwmr_auto': 1555, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.633030671087436, 'waypoint_latitude': 37.63322193002567, 'waypoint_longitude': 127.07780065897883, 'velocity': 0.1, 'heading': 95.3, 'roll': None, 'pitch': 3.3, 'validity': 'A', 'time': '025500.40', 'IP': None, 'date': '090424', 'longitude': 127.07765971, 'latitude': 37.63322289, 'arrived': False, 'flag_autodrive': True}
11:55:00 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1592, 'pwmr_auto': 1557, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.636952177824028, 'waypoint_latitude': 37.63322361170758, 'waypoint_longitude': 127.07780017902552, 'velocity': 0.1, 'heading': 95.2, 'roll': None, 'pitch': 4.1, 'validity': 'A', 'time': '025500.60', 'IP': None, 'date': '090424', 'longitude': 127.07765963, 'latitude': 37.63322276, 'arrived': False, 'flag_autodrive': True}
11:55:01 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1593, 'pwmr_auto': 1556, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.641367746131728, 'waypoint_latitude': 37.6332233820441, 'waypoint_longitude': 127.07780071943841, 'velocity': 0.1, 'heading': 95.6, 'roll': None, 'pitch': 3.4, 'validity': 'A', 'time': '025500.80', 'IP': None, 'date': '090424', 'longitude': 127.07765961, 'latitude': 37.63322269, 'arrived': False, 'flag_autodrive': True}
